sample_id,i_bits,o_bits,i_hex,o_hex,count
0,0000000010010000000000111000000000000000000,0000,0x4801c0000,0x0,9
1,0010000010010000000000111000000000000000000,0000,0x104801c0000,0x0,49
2,0010000010000100000000111000000000000000000,0000,0x104201c0000,0x0,9
3,0010000010000000000000111000000000000100100,0000,0x104001c0024,0x0,21
4,0010000010000100000000111000000000010100100,0000,0x104201c00a4,0x0,2
5,0010000010000100000000111000000000010010100,0000,0x104201c0094,0x0,4
6,0010000010000000000000111000000000010110100,0000,0x104001c00b4,0x0,74
7,0010000010000100000000111000000000010110100,0000,0x104201c00b4,0x0,2
8,0010000010000000000000111000000000010001100,0000,0x104001c008c,0x0,25
9,0010000010000100000000111000000000000001100,0000,0x104201c000c,0x0,4
10,0010000010000100000000111000000001000101100,0000,0x104201c022c,0x0,2
11,0010000010000100000000111011100100010011100,0000,0x104201dc89c,0x0,2
12,0010000010000100000000111000000000010011100,0000,0x104201c009c,0x0,2
13,0010000010000000000000111000000000010111100,0000,0x104001c00bc,0x0,4
14,0010000010000100000000111000000000000111100,0000,0x104201c003c,0x0,2
15,0010000010000100000000111000001011010000010,0000,0x104201c1682,0x0,2
16,0010000010000100000000111000000011010100010,0000,0x104201c06a2,0x0,2
17,0010000010000100000000111111010011100010010,0000,0x104201fa712,0x0,2
18,0010000010000100000000111110010011110110010,0000,0x104201f27b2,0x0,2
19,0010000010000000000000111110010011110110010,0000,0x104001f27b2,0x0,5
20,0010000010000100000000111001011100100110010,0000,0x104201cb932,0x0,2
21,0010000010000100000000111001011000110001010,0000,0x104201cb18a,0x0,2
22,0010000010000100000000111000000000010001010,0000,0x104201c008a,0x0,4
23,0010000010000100000000111000000011010101010,0000,0x104201c06aa,0x0,2
24,0010000010000000000000111000000011010011010,0000,0x104001c069a,0x0,6
25,0010000010000100000000111000000000000011010,0000,0x104201c001a,0x0,2
26,0010000010000100000000111001010111000111010,0000,0x104201cae3a,0x0,2
27,0010000010000100000000111000111101010000110,0000,0x104201c7a86,0x0,2
28,0010000010000100000000111101000100100000110,0000,0x104201e8906,0x0,2
29,0010000010000000000000111101000100100100110,0000,0x104001e8926,0x0,12
30,0010000010000100000000111100111110110100110,0000,0x104201e7da6,0x0,2
31,0010000010000000000000111100111110110100110,0000,0x104001e7da6,0x0,22
32,0010000010000100000000111000000000000100110,0000,0x104201c0026,0x0,2
33,0010000010000000000000111000000000000010110,0000,0x104001c0016,0x0,19
34,0010000010000100000000111111000001100010110,0000,0x104201f8316,0x0,2
35,0010000010000000000000111111000001100110110,0000,0x104001f8336,0x0,21
36,0010000010000100000000111110111011110110110,0000,0x104201f77b6,0x0,2
37,0010000010000000000000111110111011110110110,0000,0x104001f77b6,0x0,21
38,0010000010000100000000111000000110010110110,0000,0x104201c0cb6,0x0,2
39,0010000010000000000000111000000110010001110,0000,0x104001c0c8e,0x0,24
40,0010000010000100000000111110011100100001110,0000,0x104201f390e,0x0,2
41,0010000010000100000000111101110011110101110,0000,0x104201ee7ae,0x0,2
42,0010000010000100000000111100000000000101110,0000,0x104201e002e,0x0,2
43,0010000010000000000000111100000000000011110,0000,0x104001e001e,0x0,54
44,0010000010000100000000111011110110010011110,0000,0x104201dec9e,0x0,2
45,0010000010000000000000111011110110010011110,0000,0x104001dec9e,0x0,20
46,0010001000000100000000111110010011111011110,0100,0x110201f27de,0x4,2
47,0010001001000100000000111110010011111011110,0100,0x112201f27de,0x4,70
48,0010001011000100000000111110010011111011110,0000,0x116201f27de,0x0,2
49,1010000010000100000000111100001100011000010,0000,0x504201e18c2,0x0,2
50,0010001000000100000000111111111111011000000,0100,0x110201ffec0,0x4,2
51,0010001011000100000000111111111111011000000,0000,0x116201ffec0,0x0,2
52,0010000010000100000000111101101000110001100,0000,0x104201ed18c,0x0,2
53,0010000010000000000000111101101000110101100,0000,0x104001ed1ac,0x0,1
54,0010000010000100000000111111000001011101100,0000,0x104201f82ec,0x0,2
55,0010000010000000000000111111000001011001000,0000,0x104001f82c8,0x0,4
56,0010001000000100000000111001110010111001000,0100,0x110201ce5c8,0x4,2
57,0010001001000100000000111001110010111001000,0100,0x112201ce5c8,0x4,70
58,0010001011000100000000111001110010111001000,0000,0x116201ce5c8,0x0,2
59,0010000010000100000000111110001111110001110,0000,0x104201f1f8e,0x0,2
60,1010000010000100000000111011111100011110000,0000,0x504201df8f0,0x0,2
61,1010000010000000000000111011111100011010010,0000,0x504001df8d2,0x0,26
62,0010000010000100000000111000000001111010010,0000,0x104201c03d2,0x0,2
63,0010000010000000000000111000000001111001010,0000,0x104001c03ca,0x0,3
64,0010000010000100000000111001110001100001010,0000,0x104201ce30a,0x0,2
65,1010000010000100000000111100110100111010110,0000,0x504201e69d6,0x0,2
66,1010000010000000000000111100110100111000100,0000,0x504001e69c4,0x0,73
67,0010000010000100000000111011011000110000100,0000,0x104201db184,0x0,2
68,0010000010000000000000111011011000110111000,0000,0x104001db1b8,0x0,2
69,0010000010000100000000111110010001011111000,0000,0x104201f22f8,0x0,2
70,0010000010000000000000111110010001011101100,0000,0x104001f22ec,0x0,9
71,0010000010000100000000111101101010111101100,0000,0x104201ed5ec,0x0,2
72,0010000010000100000000111010011010111000000,0000,0x104201d35c0,0x0,2
73,0010000010000100000000111000011111111110100,0000,0x104201c3ff4,0x0,2
74,0010000010000100000000111000000000010010110,0000,0x104201c0096,0x0,4
75,0010000010000000000000111000000000010000000,0000,0x104001c0080,0x0,71
76,1010000010000100000000111111100101011000000,0000,0x504201fcac0,0x0,2
77,1010000010000000000000111111100101011011000,0000,0x504001fcad8,0x0,51
78,0010000010000100000000111001010111011011000,0000,0x104201caed8,0x0,2
79,0010000010000100000000111000110000000000000,0000,0x104201c6000,0x0,2
80,0010000010000100000000111010001001011110000,0000,0x104201d12f0,0x0,2
81,0010000010000100000000111110110010110000000,0000,0x104201f6580,0x0,2
82,0010000010000000000000111110110010110001010,0000,0x104001f658a,0x0,5
83,0010001000000100000000111110001000111001010,0100,0x110201f11ca,0x4,2
84,0010001001000100000000111110001000111001010,0100,0x112201f11ca,0x4,70
85,0010001011000100000000111110001000111001010,0000,0x116201f11ca,0x0,2
86,0010000010000100000000111101010010011110000,0000,0x104201ea4f0,0x0,2
87,0010000010000100000000111101101011011001010,0000,0x104201ed6ca,0x0,2
88,0010000000000100000100111011001100111101100,0100,0x100209d99ec,0x4,2
89,0010000011000100000100111011001100111101100,0000,0x106209d99ec,0x0,2
90,1010000010000100000000111101100000011001000,0000,0x504201ec0c8,0x0,2
91,1010000010000000000000111101100000011000000,0000,0x504001ec0c0,0x0,6
92,0010000010000100000000111111111100110000000,0000,0x104201ff980,0x0,2
93,0010000000000100000100111000011000011111010,0100,0x100209c30fa,0x4,2
94,0010000011000100000100111000011000011111010,0000,0x106209c30fa,0x0,2
95,0010000010000100000000111000000000000100000,0000,0x104201c0020,0x0,2
96,0010000010000100000000111011100011010011100,0000,0x104201dc69c,0x0,3
97,0010000010000110000000111011100000010011100,0000,0x104301dc09c,0x0,1003
98,0010000010000010000000111011100000010000000,0000,0x104101dc080,0x0,33122
99,0010000010000100000000111000001000010000000,0000,0x104201c1080,0x0,2004
100,0010000010000000000000111000001000010110000,0000,0x104001c10b0,0x0,16610
101,0010000010000100000000111000000000000110000,0000,0x104201c0030,0x0,2005
102,0000000010000100000000111000000000000110000,0000,0x4201c0030,0x0,2004
103,0010000010000000000000111000000000000110000,0000,0x104001c0030,0x0,73279
104,0010000010000100000000111000000010110110000,0000,0x104201c05b0,0x0,2
105,0010000010000100000000111000000000010101000,0000,0x104201c00a8,0x0,3
106,1010000010000100000000111101000110011011000,0000,0x504201e8cd8,0x0,2
107,1010000010000000000000111101000110011001000,0000,0x504001e8cc8,0x0,39
108,0010000010000100000000111000000000000001000,0000,0x104201c0008,0x0,3
109,0010000010000000000000111000000000000011100,0000,0x104001c001c,0x0,18
110,0010000010000000000000111000000000000110110,0000,0x104001c0036,0x0,1
111,0010000010000100000000111110110010010110110,0000,0x104201f64b6,0x0,2
112,0010000010000000000000111110110010010110110,0000,0x104001f64b6,0x0,20
113,0010000010000100000000111110111000010110110,0000,0x104201f70b6,0x0,3
114,0000000010000100000000111110111000010000000,0000,0x4201f7080,0x0,1
115,0010000010000000000000111110111000010000000,0000,0x104001f7080,0x0,6
116,0010000010000100000000111100000000000000000,0000,0x104201e0000,0x0,2
117,0010000010000100000000111111110100010111110,0000,0x104201fe8be,0x0,1
118,0010000010000000000000111111110100010111110,0000,0x104001fe8be,0x0,3
119,0010000010000100000000111000000000000111110,0000,0x104201c003e,0x0,1
120,0010000010000100000000111110110110010110110,0000,0x104201f6cb6,0x0,1
121,0010000010000000000000111110111000010110110,0000,0x104001f70b6,0x0,20
122,0010000010000100000000111110111010010110110,0000,0x104201f74b6,0x0,1
123,0000000010000100000000111110111010010000000,0000,0x4201f7480,0x0,1
124,0010000010000000000000111110111010010000000,0000,0x104001f7480,0x0,19
125,0010000010000100000000111110110000010110110,0000,0x104201f60b6,0x0,3
126,0010000010000000000000111110110000010110110,0000,0x104001f60b6,0x0,6
127,0000000010000100000000111110110000010000000,0000,0x4201f6080,0x0,1
128,0010000010000000000000111110110000010000000,0000,0x104001f6080,0x0,1
129,0010000010000100000000111000000000010000000,0000,0x104201c0080,0x0,3
130,0000000010000100000000111110110010010000000,0000,0x4201f6480,0x0,1
131,0010000010000000000000111110110010010000000,0000,0x104001f6480,0x0,1
132,0010000010000100001000111000000100000000000,0000,0x104211c0800,0x0,2
133,0000000010000100001000111000000100000000000,0000,0x4211c0800,0x0,2
134,0010000010000000001000111000000100000000000,0000,0x104011c0800,0x0,51
135,0010000010000100000000111000001110010000000,0000,0x104201c1c80,0x0,1
136,0010000010000100000000111000000000010100000,0000,0x104201c00a0,0x0,3
137,0010000010000100000000111000000000000010000,0000,0x104201c0010,0x0,1
138,0010000010000100000000111110001101100110000,0000,0x104201f1b30,0x0,1
139,0010000010000000000000111110001101100001000,0000,0x104001f1b08,0x0,4
140,0010000010000100000000111001000111110001000,0000,0x104201c8f88,0x0,1
141,0010000010000000000000111000000000000101000,0000,0x104001c0028,0x0,1
142,0010000010000100000000111000001010010011000,0000,0x104201c1498,0x0,1
143,0010000010000100000000111011111000000111000,0000,0x104201df038,0x0,1
144,0010000010000000000000111011111000000000100,0000,0x104001df004,0x0,7
145,0010000010000100000000111000101101010000100,0000,0x104201c5a84,0x0,1
146,0010000010000100000000111000000000000000100,0000,0x104201c0004,0x0,1
147,0010000010000000000000111000000000000101100,0000,0x104001c002c,0x0,3
148,0010000010000000000000111000000001000011100,0000,0x104001c021c,0x0,6
149,0010000010000000000000111000000000000000010,0000,0x104001c0002,0x0,8
150,0010000010000000000000111000000011010010010,0000,0x104001c0692,0x0,3
151,0010000010000000000000111001010111000000110,0000,0x104001cae06,0x0,8
152,0010000010000000000000111000111101010000110,0000,0x104001c7a86,0x0,13
153,0010000010000000000000111001110001100010110,0000,0x104001ce316,0x0,10
154,0010000010000000000000111101101010111000000,0000,0x104001ed5c0,0x0,2
155,0010000010000000000000111001010111011001010,0000,0x104001caeca,0x0,7
156,0010000010000000000000111010001001011000000,0000,0x104001d12c0,0x0,20
157,0010000010000000000000111111111100110111010,0000,0x104001ff9ba,0x0,5
158,0010000000000000000100111000011000011100000,0000,0x100009c30e0,0x0,2
159,0010000010000000000000111011100011010011100,0000,0x104001dc69c,0x0,20
160,0010000010000101000000111011111010111110000,1000,0x104281df5f0,0x8,1000
161,0010000011000101000000111011111010111110000,1000,0x106281df5f0,0x8,2115
