sample_id,i_bits,o_bits,i_hex,o_hex,count,first_seed,first_cycle,first_pc_id,first_instr_rdata_id
1,0000011000000000000000000010000110000000,0000,0x600002180,0x0,3,888,3599,80003e5e,90000537
2,0000011000000000000000000010000110001000,0000,0x600002188,0x0,6,888,466,800000ba,00003717
3,0000011000000000000000000010000110010000,0000,0x600002190,0x0,2,888,1167,8000029e,80000037
4,0000011000000000000000000010000110011000,0000,0x600002198,0x0,1,888,6159,80000348,90000537
5,0000011000000000000000000010000110100000,0000,0x6000021a0,0x0,2,888,1046,8000025e,000025b7
6,0000011000000000000000000010000110101000,0000,0x6000021a8,0x0,6,888,858,800001e6,00003717
7,0000011000000000000000000010000110110000,0000,0x6000021b0,0x0,7,888,549,8000010e,00003717
8,0000011000000000000000000010000110111000,0000,0x6000021b8,0x0,5,888,755,80000192,00003717
9,0000011000000000000000000010100110000000,0000,0x600002980,0x0,4,888,608,80000126,00003717
10,0000011000000000000000000010100110010000,0000,0x600002990,0x0,2,888,720,8000017a,00003717
11,0000011000000000000000000010100110100000,0000,0x6000029a0,0x0,7,888,421,800000a8,00003717
12,0000011000000000000000000010100110110000,0000,0x6000029b0,0x0,8,888,313,80000080,400015b7
13,0000011000000000000000000010100110111000,0000,0x6000029b8,0x0,1,889,1165,80003474,00000417
14,0000011000000000000000000011000101100000,0000,0x600003160,0x0,1,889,6211,8000406a,00000013
15,0000011000000000000000000101000000000000,1100,0x600005000,0xc,28,888,1100,80000284,90000537
16,0000011000000000000000000101000000000010,1100,0x600005002,0xc,5,888,1101,80000284,90000537
17,0000011000000000000000000101000000001000,1100,0x600005008,0xc,1,889,17808,80002936,900003b7
18,0000011000000000000000000101000000010000,1100,0x600005010,0xc,3,888,1117,80000284,90000537
19,0000011000000000000000000101000000011000,1100,0x600005018,0xc,1,888,1106,80000284,90000537
20,0000011000000000000000000101000000100000,1100,0x600005020,0xc,3,889,17589,800028c6,900003b7
21,0000011000000000000000000101000000100010,1100,0x600005022,0xc,2,889,17586,800028c6,900003b7
22,0000011000000000000000000101000000101000,1100,0x600005028,0xc,2,888,1102,80000284,90000537
23,0000011000000000000000000101000000110000,1100,0x600005030,0xc,4,888,1104,80000284,90000537
24,0000011000000000000000000101000000110010,1100,0x600005032,0xc,1,889,17687,800028fe,900003b7
25,0000011000000000000000000101000000111000,1100,0x600005038,0xc,3,888,1105,80000284,90000537
26,0000011000000000000000000111000101000001,0000,0x600007141,0x0,4,888,1120,80000284,90000537
27,0000011000000000000000000111000101001001,0000,0x600007149,0x0,2,888,3642,80003e6e,90000537
28,0000011000000000000000000111000101100001,0000,0x600007161,0x0,1,889,17590,800028c6,900003b7
29,0000011000000000000000000111000101100011,0000,0x600007163,0x0,3,888,9165,8000250c,90000537
30,0000011000000000000000000111000101110001,0000,0x600007171,0x0,2,889,17646,800028e2,900003b7
31,0000011000000000000000000111100101000001,0000,0x600007941,0x0,2,888,9018,800024ac,90000537
32,0000011000000000000000000111100101100011,0000,0x600007963,0x0,3,888,9073,800024dc,90000537
33,0000011000000000000000110011000101100000,0000,0x600033160,0x0,2,888,1168,800002a2,00000013
34,0000011000000000000001110011000101101000,0000,0x600073168,0x0,1,889,925,800002be,80000137
35,0000011000000000000001110011000101110000,0000,0x600073170,0x0,1,888,1170,800002a6,00000113
36,0000011000000000000001110011100101000000,0000,0x600073940,0x0,2,889,4456,80003b1a,00000013
37,0000011000000000000010110011100101000000,0000,0x6000b3940,0x0,1,889,4387,80003ad4,00000013
38,0000011000000000000010110011100101100000,0000,0x6000b3960,0x0,1,889,11139,80003ad4,00000013
39,0000011000000000000010110011100101110000,0000,0x6000b3970,0x0,1,889,926,800002c2,800001b7
40,0000011000000000000011000010100110000000,0000,0x6000c2980,0x0,1,889,6228,80004074,00000013
41,0000011000000000000011110011000101000000,0000,0x6000f3140,0x0,1,888,6051,80003384,00000013
42,0000011000000000000011110011100101000000,0000,0x6000f3940,0x0,1,889,14638,8000358e,00000013
43,0000011000000000000011110011100101110000,0000,0x6000f3970,0x0,1,888,1172,800002aa,80000237
44,0000011000000000000100110011000101100000,0000,0x600133160,0x0,1,889,1127,80000342,900003b7
45,0000011000000000000101110011000101001000,0000,0x600173148,0x0,1,888,1200,800002b6,00000313
46,0000011000000000000110110011100101100000,0000,0x6001b3960,0x0,1,889,933,800002d0,800003b7
47,0000011000000000000111000010000110001000,0000,0x6001c2188,0x0,1,889,815,80000276,900003b7
48,0000011000000000000111000010000110101000,0000,0x6001c21a8,0x0,2,889,804,80000270,900003b7
49,0000011000000000000111000010000110111000,0000,0x6001c21b8,0x0,1,889,1130,80000348,00000593
50,0000011000000000000111000010100110100000,0000,0x6001c29a0,0x0,1,889,17593,800028cc,000015b7
51,0000011000000000000111110011000101000000,0000,0x6001f3140,0x0,2,889,817,8000027c,30000593
52,0000011000000000000111110011000101101000,0000,0x6001f3168,0x0,1,889,17541,800028b0,000015b7
53,0000011000000000000111110011100101000000,0000,0x6001f3940,0x0,4,889,17648,800028e8,000015b7
54,0000011000000000000111110011100101010000,0000,0x6001f3950,0x0,1,889,17691,80002904,000015b7
55,0000011000000000000111110011100101100000,0000,0x6001f3960,0x0,2,889,14895,8000035e,00000593
