category,bin_name,hit,hit_count
cross,rf_rd_wb_hz & raw_hazard_rs1,1,1480
cross,rf_rd_wb_hz & raw_hazard_rs2,1,6355
cross,stall_branch & branch_active,0,0
cross,stall_branch & branch_taken,0,0
cross,stall_jump & jump_active,0,0
cross,stall_ld_hz & raw_hazard_rs1 & load_wait,1,997
cross,stall_ld_hz & raw_hazard_rs2 & load_wait,1,3492
cross,stall_mem & lsu_wait,1,9921
cross,stall_multdiv & div_active,0,0
cross,stall_multdiv & mult_active,0,0
input_bool,branch_decision_i==0,1,14162
input_bool,branch_decision_i==1,1,278
input_bool,branch_in_dec==0,1,14437
input_bool,branch_in_dec==1,1,3
input_bool,controller_run==0,1,7
input_bool,controller_run==1,1,14433
input_bool,data_ind_timing_i==0,1,14440
input_bool,data_ind_timing_i==1,0,0
input_bool,div_en_dec==0,1,14440
input_bool,div_en_dec==1,0,0
input_bool,ex_valid_i==0,0,0
input_bool,ex_valid_i==1,1,14440
input_bool,id_fsm_q==0,1,10089
input_bool,id_fsm_q==1,1,4351
input_bool,instr_fetch_err_i==0,1,14440
input_bool,instr_fetch_err_i==1,0,0
input_bool,instr_valid_i==0,0,0
input_bool,instr_valid_i==1,1,14440
input_bool,jump_in_dec==0,1,14368
input_bool,jump_in_dec==1,1,72
input_bool,lsu_req_dec==0,1,3017
input_bool,lsu_req_dec==1,1,11423
input_bool,lsu_req_done_i==0,1,12938
input_bool,lsu_req_done_i==1,1,1502
input_bool,lsu_resp_valid_i==0,1,13060
input_bool,lsu_resp_valid_i==1,1,1380
input_bool,mult_en_dec==0,1,14440
input_bool,mult_en_dec==1,0,0
input_bool,outstanding_load_wb_i==0,1,9052
input_bool,outstanding_load_wb_i==1,1,5388
input_bool,outstanding_store_wb_i==0,1,11402
input_bool,outstanding_store_wb_i==1,1,3038
input_bool,ready_wb_i==0,1,7046
input_bool,ready_wb_i==1,1,7394
input_bool,rf_ren_a==0,1,86
input_bool,rf_ren_a==1,1,14354
input_bool,rf_ren_b==0,1,6621
input_bool,rf_ren_b==1,1,7819
output_bit,rf_rd_wb_hz==0,1,6605
output_bit,rf_rd_wb_hz==1,1,7835
output_bit,stall_branch==0,1,14440
output_bit,stall_branch==1,0,0
output_bit,stall_jump==0,1,14440
output_bit,stall_jump==1,0,0
output_bit,stall_ld_hz==0,1,9052
output_bit,stall_ld_hz==1,1,5388
output_bit,stall_mem==0,1,2563
output_bit,stall_mem==1,1,11877
output_bit,stall_multdiv==0,1,14440
output_bit,stall_multdiv==1,0,0
predicate,branch_active,1,3
predicate,branch_taken,1,2
predicate,div_active,0,0
predicate,jump_active,1,72
predicate,load_wait,1,4489
predicate,lsu_wait,1,9921
predicate,mult_active,0,0
predicate,raw_hazard_rs1,1,1480
predicate,raw_hazard_rs2,1,6355
predicate,store_wait,1,2557
predicate,wb_nonzero,1,13928
predicate,wb_zero,1,512
region,region:R_rf_rd_wb_hz_000,0,0
region,region:R_stall_ld_hz_000,1,4177
region,region:R_stall_ld_hz_001,1,1211
region,region:R_stall_mem_000,1,9921
region,region:R_stall_mem_001,0,0
