category,bin_name,baseline_hit,candidate_hit,delta_hit,baseline_hit_count,candidate_hit_count,delta_hit_count
cross,rf_rd_wb_hz & raw_hazard_rs1,1,1,0,1156,1480,324
cross,rf_rd_wb_hz & raw_hazard_rs2,1,1,0,984,6355,5371
cross,stall_branch & branch_active,0,0,0,0,0,0
cross,stall_branch & branch_taken,0,0,0,0,0,0
cross,stall_jump & jump_active,0,0,0,0,0,0
cross,stall_ld_hz & raw_hazard_rs1 & load_wait,1,1,0,104,997,893
cross,stall_ld_hz & raw_hazard_rs2 & load_wait,0,1,1,0,3492,3492
cross,stall_mem & lsu_wait,1,1,0,9616,9921,305
cross,stall_multdiv & div_active,1,0,-1,2549,0,-2549
cross,stall_multdiv & mult_active,1,0,-1,70,0,-70
input_bool,branch_decision_i==0,1,1,0,16477,14162,-2315
input_bool,branch_decision_i==1,1,1,0,1234,278,-956
input_bool,branch_in_dec==0,1,1,0,17291,14437,-2854
input_bool,branch_in_dec==1,1,1,0,420,3,-417
input_bool,controller_run==0,1,1,0,126,7,-119
input_bool,controller_run==1,1,1,0,17585,14433,-3152
input_bool,data_ind_timing_i==0,1,1,0,17711,14440,-3271
input_bool,data_ind_timing_i==1,0,0,0,0,0,0
input_bool,div_en_dec==0,1,1,0,15063,14440,-623
input_bool,div_en_dec==1,1,0,-1,2648,0,-2648
input_bool,ex_valid_i==0,1,0,-1,2619,0,-2619
input_bool,ex_valid_i==1,1,1,0,15092,14440,-652
input_bool,id_fsm_q==0,1,1,0,11397,10089,-1308
input_bool,id_fsm_q==1,1,1,0,6314,4351,-1963
input_bool,instr_fetch_err_i==0,1,1,0,17711,14440,-3271
input_bool,instr_fetch_err_i==1,0,0,0,0,0,0
input_bool,instr_valid_i==0,0,0,0,0,0,0
input_bool,instr_valid_i==1,1,1,0,17711,14440,-3271
input_bool,jump_in_dec==0,1,1,0,17625,14368,-3257
input_bool,jump_in_dec==1,1,1,0,86,72,-14
input_bool,lsu_req_dec==0,1,1,0,6628,3017,-3611
input_bool,lsu_req_dec==1,1,1,0,11083,11423,340
input_bool,lsu_req_done_i==0,1,1,0,16244,12938,-3306
input_bool,lsu_req_done_i==1,1,1,0,1467,1502,35
input_bool,lsu_resp_valid_i==0,1,1,0,16347,13060,-3287
input_bool,lsu_resp_valid_i==1,1,1,0,1364,1380,16
input_bool,mult_en_dec==0,1,1,0,17559,14440,-3119
input_bool,mult_en_dec==1,1,0,-1,152,0,-152
input_bool,outstanding_load_wb_i==0,1,1,0,14185,9052,-5133
input_bool,outstanding_load_wb_i==1,1,1,0,3526,5388,1862
input_bool,outstanding_store_wb_i==0,1,1,0,13079,11402,-1677
input_bool,outstanding_store_wb_i==1,1,1,0,4632,3038,-1594
input_bool,ready_wb_i==0,1,1,0,6794,7046,252
input_bool,ready_wb_i==1,1,1,0,10917,7394,-3523
input_bool,rf_ren_a==0,1,1,0,729,86,-643
input_bool,rf_ren_a==1,1,1,0,16982,14354,-2628
input_bool,rf_ren_b==0,1,1,0,7747,6621,-1126
input_bool,rf_ren_b==1,1,1,0,9964,7819,-2145
output_bit,rf_rd_wb_hz==0,1,1,0,15571,6605,-8966
output_bit,rf_rd_wb_hz==1,1,1,0,2140,7835,5695
output_bit,stall_branch==0,1,1,0,17711,14440,-3271
output_bit,stall_branch==1,0,0,0,0,0,0
output_bit,stall_jump==0,1,1,0,17711,14440,-3271
output_bit,stall_jump==1,0,0,0,0,0,0
output_bit,stall_ld_hz==0,1,1,0,17588,9052,-8536
output_bit,stall_ld_hz==1,1,1,0,123,5388,5265
output_bit,stall_mem==0,1,1,0,7202,2563,-4639
output_bit,stall_mem==1,1,1,0,10509,11877,1368
output_bit,stall_multdiv==0,1,1,0,15092,14440,-652
output_bit,stall_multdiv==1,1,0,-1,2619,0,-2619
predicate,branch_active,1,1,0,420,3,-417
predicate,branch_taken,1,1,0,181,2,-179
predicate,div_active,1,0,-1,2648,0,-2648
predicate,jump_active,1,1,0,86,72,-14
predicate,load_wait,1,1,0,2911,4489,1578
predicate,lsu_wait,1,1,0,9616,9921,305
predicate,mult_active,1,0,-1,152,0,-152
predicate,raw_hazard_rs1,1,1,0,1156,1480,324
predicate,raw_hazard_rs2,1,1,0,984,6355,5371
predicate,store_wait,1,1,0,3883,2557,-1326
predicate,wb_nonzero,1,1,0,16005,13928,-2077
predicate,wb_zero,1,1,0,1706,512,-1194
region,region:R_rf_rd_wb_hz_000,0,0,0,0,0,0
region,region:R_stall_ld_hz_000,1,1,0,85,4177,4092
region,region:R_stall_ld_hz_001,1,1,0,123,1211,1088
region,region:R_stall_mem_000,1,1,0,9616,9921,305
region,region:R_stall_mem_001,0,0,0,0,0,0
