rank,signature,hit_count,hit_pct
1,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=1,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=1,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",16306,51.0471777854303
2,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",6574,20.580408853269887
3,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=1,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=1,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=0",1831,5.732085276899477
4,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=0",876,2.7423848730551295
5,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=1,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",697,2.182011708355508
6,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=1,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",626,1.9597407882791222
7,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=1,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=1,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",619,1.937826753905394
8,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=1,jump_active=0,branch_taken=0,wb_nonzero=1",579,1.8126037003412327
9,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=1,jump_active=0,branch_taken=1,wb_nonzero=1",578,1.809473124002129
10,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=1,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=1,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",496,1.5527658641955984
11,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=1,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=1,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",434,1.3586701311711487
12,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",397,1.2428388066242995
13,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=1,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=0",219,0.6855962182637824
14,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=1,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",213,0.6668127602291581
15,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=1,lsu_wait=1,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",200,0.6261152678208058
