rank,signature,hit_count,hit_pct
1,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=1,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",3509,32.42169453940682
2,"out:stall_mem=1,stall_ld_hz=1,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=1,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",2378,21.971726877945116
3,"out:stall_mem=1,stall_ld_hz=1,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=1,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",1926,17.795435646308785
4,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",1036,9.572207336228402
5,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",515,4.7583849210015705
6,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",501,4.6290307678092955
7,"out:stall_mem=0,stall_ld_hz=1,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",439,4.0561766608149314
8,"out:stall_mem=0,stall_ld_hz=1,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",417,3.8529058486556407
9,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=1,branch_taken=0,wb_nonzero=0",50,0.4619791185438418
10,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=0",20,0.18479164741753673
11,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=1,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=1,branch_taken=0,wb_nonzero=0",17,0.15707290030490623
12,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=1,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",11,0.1016354060796452
13,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=1,jump_active=0,branch_taken=1,wb_nonzero=1",2,0.01847916474175367
14,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=1,jump_active=0,branch_taken=0,wb_nonzero=1",1,0.009239582370876836
15,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=1,branch_taken=0,wb_nonzero=1",1,0.009239582370876836
