rank,signature,hit_count,hit_pct
1,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=1,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=1,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",2268,24.038155802861684
2,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=1,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=1,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",2268,24.038155802861684
3,"out:stall_mem=1,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=1,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",1171,12.41123476417594
4,"out:stall_mem=1,stall_ld_hz=1,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=1,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",1156,12.252252252252251
5,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=0|pred:raw_hazard_rs1=0,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",834,8.839427662957075
6,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",522,5.532591414944356
7,"out:stall_mem=0,stall_ld_hz=1,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",249,2.639109697933227
8,"out:stall_mem=1,stall_ld_hz=1,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=1,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",222,2.3529411764705883
9,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=0,raw_hazard_rs2=1,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=0,branch_taken=0,wb_nonzero=1",191,2.0243773184949654
10,"out:stall_mem=0,stall_ld_hz=0,stall_multdiv=0,stall_branch=0,stall_jump=0,rf_rd_wb_hz=1|pred:raw_hazard_rs1=1,raw_hazard_rs2=0,load_wait=0,store_wait=0,lsu_wait=0,mult_active=0,div_active=0,branch_active=0,jump_active=1,branch_taken=0,wb_nonzero=1",126,1.3354531001589824
