method,point_name,total_generated_instr,prefix_generated_instr,extra_generated_instr,source,cov_report,block_pct,branch_pct,statement_pct,expression_pct,toggle_pct,statement_dup_pct,fsm_pct,assertion_pct,covergroup_pct
baseline_only,baseline_only_1000,1000,1000,0,baseline_prefix,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_prefix_10k_seed888/sample_cov/baseline_prefix_10k_seed888/bsd_cov_sample_001000/report/cov_report.txt,77.44,57.91,78.83,67.09,64.59,78.83,59.42,94.1,6.18
baseline_plus_bsdcov,baseline_plus_bsdcov_1000,1000,1000,0,baseline_prefix,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_prefix_10k_seed888/sample_cov/baseline_prefix_10k_seed888/bsd_cov_sample_001000/report/cov_report.txt,77.44,57.91,78.83,67.09,64.59,78.83,59.42,94.1,6.18
baseline_only,baseline_only_2000,2000,2000,0,baseline_prefix,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_prefix_10k_seed888/sample_cov/baseline_prefix_10k_seed888/bsd_cov_sample_002000/report/cov_report.txt,77.98,59.0,79.42,67.38,66.03,79.42,59.42,94.1,6.7
baseline_plus_bsdcov,baseline_plus_bsdcov_2000,2000,2000,0,baseline_prefix,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_prefix_10k_seed888/sample_cov/baseline_prefix_10k_seed888/bsd_cov_sample_002000/report/cov_report.txt,77.98,59.0,79.42,67.38,66.03,79.42,59.42,94.1,6.7
baseline_only,baseline_only_3000,3000,3000,0,baseline_prefix,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_prefix_10k_seed888/sample_cov/baseline_prefix_10k_seed888/bsd_cov_sample_003000/report/cov_report.txt,78.33,59.68,79.81,67.7,66.83,79.81,60.87,94.62,6.94
baseline_plus_bsdcov,baseline_plus_bsdcov_3000,3000,3000,0,baseline_prefix,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_prefix_10k_seed888/sample_cov/baseline_prefix_10k_seed888/bsd_cov_sample_003000/report/cov_report.txt,78.33,59.68,79.81,67.7,66.83,79.81,60.87,94.62,6.94
baseline_only,baseline_only_4000,4000,4000,0,baseline_prefix,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_prefix_10k_seed888/sample_cov/baseline_prefix_10k_seed888/bsd_cov_sample_004000/report/cov_report.txt,78.47,59.97,79.98,67.82,67.01,79.98,60.87,94.62,6.99
baseline_plus_bsdcov,baseline_plus_bsdcov_4000,4000,4000,0,baseline_prefix,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_prefix_10k_seed888/sample_cov/baseline_prefix_10k_seed888/bsd_cov_sample_004000/report/cov_report.txt,78.47,59.97,79.98,67.82,67.01,79.98,60.87,94.62,6.99
baseline_only,baseline_only_5000,5000,5000,0,baseline_prefix,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_prefix_10k_seed888/sample_cov/baseline_prefix_10k_seed888/bsd_cov_sample_005000/report/cov_report.txt,78.6,60.23,80.14,67.89,67.37,80.14,60.87,94.62,7.16
baseline_plus_bsdcov,baseline_plus_bsdcov_5000,5000,5000,0,baseline_prefix,/home/lvzhengyang/workspace/BSD-Cov/designs/ibex/dv/bsdcov/experiments/ibex_riscvdv/baseline_prefix_10k_seed888/sample_cov/baseline_prefix_10k_seed888/bsd_cov_sample_005000/report/cov_report.txt,78.6,60.23,80.14,67.89,67.37,80.14,60.87,94.62,7.16
