BaselineInstructionNum,BaselineBlock,Baseline+BSDCOVBlock,Baseline+ExtraBlock,BaselineBranch,Baseline+BSDCOVBranch,Baseline+ExtraBranch,BaselineStatement,Baseline+BSDCOVStatement,Baseline+ExtraStatement,BaselineExpression,Baseline+BSDCOVExpression,Baseline+ExtraExpression,BaselineToggle,Baseline+BSDCOVToggle,Baseline+ExtraToggle,BaselineFSM,Baseline+BSDCOVFSM,Baseline+ExtraFSM,BaselineAssertion,Baseline+BSDCOVAssertion,Baseline+ExtraAssertion,BaselineCovergroup,Baseline+BSDCOVCovergroup,Baseline+ExtraCovergroup
10000,74.53,74.69,74.59,52.06,52.37,52.18,77.89,78.05,77.94,67.81,67.9,67.87,49.36,49.5,49.51,53.62,53.62,53.62,87.44,87.95,87.44,3.92,4.04,4.02
20000,74.53,74.56,75.28,52.43,52.49,53.86,77.8,77.83,78.7,67.83,67.83,68.32,49.85,50.04,52.96,53.62,53.62,57.97,87.95,87.95,92.82,3.95,4.0,4.86
30000,74.53,74.53,74.87,52.43,52.43,52.74,77.8,77.8,78.29,67.83,67.83,67.9,49.85,49.95,50.04,53.62,53.62,53.62,87.95,87.95,87.95,3.95,4.01,4.0
40000,,,,,,,,,,,,,,,,,,,,,,,,
50000,,,,,,,,,,,,,,,,,,,,,,,,
60000,,,,,,,,,,,,,,,,,,,,,,,,
70000,74.25,74.25,74.34,51.78,51.78,51.95,77.31,77.31,77.4,67.36,67.36,67.38,49.47,49.47,49.66,49.28,49.28,49.28,84.87,84.87,84.87,3.08,3.08,3.08
80000,74.25,75.68,75.69,51.78,54.34,54.37,77.31,79.04,79.08,67.36,68.0,68.0,49.47,50.85,50.97,49.28,53.62,53.62,84.87,86.92,86.92,3.08,3.88,3.88
90000,,,,,,,,,,,,,,,,,,,,,,,,
100000,,,,,,,,,,,,,,,,,,,,,,,,
